percentA,percentB,prizeA,prizeB
1,2,10000,5000
1,99,10000,101
1,98,10000,102
1,5,10000,2000
1,10,10000,1000
1,20,10000,500
1,25,10000,400
1,30,10000,333
1,40,10000,250
1,50,10000,200
1,60,10000,167
1,70,10000,143
1,75,10000,133
1,80,10000,125
1,90,10000,111
1,95,10000,105
2,99,5000,101
2,98,5000,102
2,5,5000,2000
2,10,5000,1000
2,20,5000,500
2,25,5000,400
2,30,5000,333
2,40,5000,250
2,50,5000,200
2,60,5000,167
2,70,5000,143
2,75,5000,133
2,80,5000,125
2,90,5000,111
2,95,5000,105
99,98,101,102
99,5,101,2000
99,10,101,1000
99,20,101,500
99,25,101,400
99,30,101,333
99,40,101,250
99,50,101,200
99,60,101,167
99,70,101,143
99,75,101,133
99,80,101,125
99,90,101,111
99,95,101,105
98,5,102,2000
98,10,102,1000
98,20,102,500
98,25,102,400
98,30,102,333
98,40,102,250
98,50,102,200
98,60,102,167
98,70,102,143
98,75,102,133
98,80,102,125
98,90,102,111
98,95,102,105
5,10,2000,1000
5,20,2000,500
5,25,2000,400
5,30,2000,333
5,40,2000,250
5,50,2000,200
5,60,2000,167
5,70,2000,143
5,75,2000,133
5,80,2000,125
5,90,2000,111
5,95,2000,105
10,20,1000,500
10,25,1000,400
10,30,1000,333
10,40,1000,250
10,50,1000,200
10,60,1000,167
10,70,1000,143
10,75,1000,133
10,80,1000,125
10,90,1000,111
10,95,1000,105
20,25,500,400
20,30,500,333
20,40,500,250
20,50,500,200
20,60,500,167
20,70,500,143
20,75,500,133
20,80,500,125
20,90,500,111
20,95,500,105
25,30,400,333
25,40,400,250
25,50,400,200
25,60,400,167
25,70,400,143
25,75,400,133
25,80,400,125
25,90,400,111
25,95,400,105
30,40,333,250
30,50,333,200
30,60,333,167
30,70,333,143
30,75,333,133
30,80,333,125
30,90,333,111
30,95,333,105
40,50,250,200
40,60,250,167
40,70,250,143
40,75,250,133
40,80,250,125
40,90,250,111
40,95,250,105
50,60,200,167
50,70,200,143
50,75,200,133
50,80,200,125
50,90,200,111
50,95,200,105
60,70,167,143
60,75,167,133
60,80,167,125
60,90,167,111
60,95,167,105
70,75,143,133
70,80,143,125
70,90,143,111
70,95,143,105
75,80,133,125
75,90,133,111
75,95,133,105
80,90,125,111
80,95,125,105
90,95,111,105
